"country","year","expert","party_id","party","vote","seat","electionyear","epvote","family","govt","eu_position","eu_salience","eu_dissent","eu_blur","eu_ep","eu_intmark","eu_cohesion","eu_foreign","lrgen","lrecon","galtan","galtan_salience","sociallifestyle","religious_principles","immigrate_policy","immigrate_salience","immigrate_dissent","multiculturalism","multicult_salience","multicult_dissent","ethnic_minorities","ethnic_salience","anti_islam_rhetoric","people_vs_elite","antielite_salience","variavel","valor"
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"ideology",5.88095235824585
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"spec_eu",5.56037163734436
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"policy",3.9611841417038
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"party_char",1.77745093333333
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"nationalism",5.4736843
3,2019,21,301,"CDU",26.8,28.200001,2017,22.6,4,1,6.2857141494751,6.8571429,2.6363637,3.5555556,NA,6.47368431091309,5.25,4.64705896377563,5.85714292526245,5.90476179122925,5.85714292526245,6.2380953,5.10526323318481,6.40000009536743,6,6.90000009536743,6.3499999,7.0500002,7.0999999,5.1052632,6,NA,2.8823528,1.7,0.75,"protectionism",3.3888888
3,2019,21,308,"CSU",6.2,6.5,2017,6.3,4,1,5.68421030044556,6.5999999,3.6363637,4,NA,5.78947353363037,4.94117641448975,3.64705872535706,7.1904764175415,6.38095235824585,7.2857141494751,7.6190476,6.4210524559021,7.55000019073486,7.69999980926514,8.10000038146973,3.5,8.4499998,8.25,3,7.35294103622437,NA,4.5882354,2.8421052,1.55,"ideology",6.78571438789368
3,2019,21,308,"CSU",6.2,6.5,2017,6.3,4,1,5.68421030044556,6.5999999,3.6363637,4,NA,5.78947353363037,4.94117641448975,3.64705872535706,7.1904764175415,6.38095235824585,7.2857141494751,7.6190476,6.4210524559021,7.55000019073486,7.69999980926514,8.10000038146973,3.5,8.4499998,8.25,3,7.35294103622437,NA,4.5882354,2.8421052,1.55,"spec_eu",4.71826612949371
3,2019,21,308,"CSU",6.2,6.5,2017,6.3,4,1,5.68421030044556,6.5999999,3.6363637,4,NA,5.78947353363037,4.94117641448975,3.64705872535706,7.1904764175415,6.38095235824585,7.2857141494751,7.6190476,6.4210524559021,7.55000019073486,7.69999980926514,8.10000038146973,3.5,8.4499998,8.25,3,7.35294103622437,NA,4.5882354,2.8421052,1.55,"policy",2.5190017246521
3,2019,21,308,"CSU",6.2,6.5,2017,6.3,4,1,5.68421030044556,6.5999999,3.6363637,4,NA,5.78947353363037,4.94117641448975,3.64705872535706,7.1904764175415,6.38095235824585,7.2857141494751,7.6190476,6.4210524559021,7.55000019073486,7.69999980926514,8.10000038146973,3.5,8.4499998,8.25,3,7.35294103622437,NA,4.5882354,2.8421052,1.55,"party_char",2.99344686666667
